64,42,49,0.75,1
65,44,50,0.5,1
65.5,42,49,0.5,1
66,47,52,0.75,1
67,39,47,0.75,1
68,42,49,0.75,1
69,44,50,0.5,1
69.5,42,49,0.5,1
70,45,51,0.75,1
71,44,50,0.75,1
72,42,49,0.5,1
72.5,35,45,0.5,1
73,37,46,0.5,1
73.5,39,47,0.5,1
74,40,48,0.75,1
75,44,50,0.75,1
76,47,52,0.75,1
77,49,53,0.5,1
77.5,47,52,0.5,1
78,40,48,0.75,1
79,44,50,0.75,1
80,47,52,0.5,1
80.5,42,49,0.5,1
81,44,50,0.5,1
81.5,46,51,0.5,1
82,47,52,0.75,1
83,39,47,0.75,1
84,42,49,0.75,1
85,44,50,0.5,1
85.5,42,49,0.5,1
86,35,45,0.75,1
87,39,47,0.75,1
88,42,49,0.5,1
88.5,39,47,0.5,1
89,40,48,0.5,1
89.5,41,48,0.5,1
90,42,49,0.75,1
91,46,51,0.75,1
92,49,53,0.75,1
93,46,51,0.5,1
93.5,42,49,0.5,1
94,40,48,0.75,1
95,44,50,0.75,1
96,47,52,0.5,1
96.5,42,49,0.5,1
97,44,50,0.5,1
97.5,46,51,0.5,1
98,47,52,0.5,1
104.5,35,45,0.5,1
105,37,46,0.5,1
105.5,39,47,0.5,1
106,40,48,1,1
107.5,44,50,0.5,1
108,47,52,0.75,1
109,44,50,0.5,1
109.5,47,52,0.5,1
110,40,48,1,1
111.5,44,50,0.5,1
112,47,52,0.75,1
113,44,50,0.5,1
113.5,47,52,0.5,1
114,35,45,1,1
115.5,39,47,0.5,1
116,42,49,0.75,1
117,39,47,0.5,1
117.5,42,49,0.5,1
118,35,45,1,1
119.5,39,47,0.5,1
120,42,49,0.75,1
121,39,47,0.5,1
121.5,42,49,0.5,1
122,40,48,1,1
123.5,44,50,0.5,1
124,47,52,0.75,1
125,44,50,0.5,1
125.5,47,52,0.5,1
126,40,48,1,1
127.5,44,50,0.5,1
128,47,52,0.75,1
129,44,50,0.5,1
129.5,47,52,0.5,1
130,37,46,0.75,1
132,37,46,0.75,1
134,42,49,0.33333,1
134.5,42,49,0.33333,1
135,42,49,0.33333,1
135.5,42,49,0.33333,1
136,42,49,0.33333,1
136.5,42,49,0.33333,1
137,42,49,0.33333,1
137.5,42,49,0.33333,1
138,47,52,0.75,1
139,39,47,0.75,1
140,42,49,0.75,1
141,44,50,0.5,1
141.5,42,49,0.5,1
142,47,52,0.75,1
143,39,47,0.75,1
144,42,49,0.75,1
145,44,50,0.5,1
145.5,42,49,0.5,1
146,47,52,0.75,1
147,39,47,0.75,1
148,42,49,0.75,1
149,44,50,0.5,1
149.5,42,49,0.5,1
150,45,51,0.75,1
151,44,50,0.75,1
152,42,49,0.5,1
152.5,35,45,0.5,1
153,37,46,0.5,1
153.5,39,47,0.5,1
154,40,48,0.75,1
155,44,50,0.75,1
156,47,52,0.75,1
157,49,53,0.5,1
157.5,47,52,0.5,1
158,40,48,0.75,1
159,44,50,0.75,1
160,47,52,0.5,1
160.5,42,49,0.5,1
161,44,50,0.5,1
161.5,46,51,0.5,1
162,47,52,0.75,1
163,39,47,0.75,1
164,42,49,0.75,1
165,44,50,0.5,1
165.5,42,49,0.5,1
166,35,45,0.75,1
167,39,47,0.75,1
168,42,49,0.5,1
168.5,39,47,0.5,1
