38,40,48,0.75,1
39,42,49,0.5,1
39.5,44,50,0.25,1
40,45,51,0.66667,1
41,40,48,0.66667,1
42,45,51,0.83333,1
43,40,48,0.5,1
43.5,45,51,0.25,1
44,47,52,0.66667,1
45,42,49,0.83333,1
46,47,52,0.83333,1
47,44,50,0.5,1
47.5,42,49,0.16667,1
48,40,48,0.66667,1
49,35,45,0.5,1
50,44,50,0.5,1
50.75,42,49,0.25,1
51,44,50,0.33333,1
51.5,45,51,0.25,1
52,47,52,0.75,1
52.75,45,51,0.33333,1
53.5,42,49,0.25,1
54,40,48,0.66667,1
55,47,52,0.66667,1
56,40,48,0.66667,1
57,47,52,0.75,1
58,40,48,0.75,1
59,47,52,1,1
60,40,48,0.25,1
60.5,35,45,0.33333,1
61,37,46,0.33333,1
61.5,39,47,0.16667,1
62,40,48,0.5,1
63,35,45,0.66667,1
64,40,48,0.75,1
65,35,45,0.33333,1
65.5,40,48,0.33333,1
66,35,45,0.66667,1
67,42,49,0.75,1
68,35,45,0.75,1
69,42,49,0.5,1
69.5,44,50,0.33333,1
70,45,51,0.75,1
71,40,48,0.5,1
71.5,45,51,0.5,1
72,47,52,0.83333,1
73,42,49,0.66667,1
74,40,48,0.75,1
75,47,52,1,1
76,40,48,0.5,1
76.5,39,47,0.33333,1
77,37,46,0.33333,1
77.5,35,45,0.33333,1
78,40,48,0.66667,1
79,47,52,0.75,1
80,40,48,1,1
81,42,49,0.5,1
81.5,44,50,0.25,1
82,47,52,0.75,1
83,42,49,0.83333,1
84,47,52,0.83333,1
85,42,49,0.5,1
85.5,47,52,0.16667,1
86,47,52,0.83333,1
87,42,49,0.83333,1
88,47,52,0.75,1
89,42,49,0.33333,1
89.5,47,52,0.33333,1
90,40,48,0.75,1
91,47,52,0.75,1
92,40,48,0.5,1
92.5,35,45,0.33333,1
93,37,46,0.33333,1
93.5,39,47,0.25,1
94,40,48,0.66667,1
95,47,52,0.66667,1
96,40,48,0.66667,1
97,47,52,0.5,1
98,47,52,0.66667,1
99,42,49,0.66667,1
100,47,52,0.66667,1
101,42,49,0.5,1
102,45,51,0.66667,1
